image, class, confidence, xmin, ymin, xmax, ymax
"data/dog.jpg" person 0.387962 0.078226 0.010578 0.147988 0.122098
"data/dog.jpg" truck 0.788559 0.592638 0.000000 0.908503 0.231199
"data/dog.jpg" person 0.895452 0.602359 0.022673 0.904054 0.220814
"data/dog.jpg" person 0.853720 0.103963 0.100198 0.723167 0.913207
"data/dog.jpg" bicycle 0.850706 0.103963 0.100198 0.723167 0.913207
"data/dog.jpg" person 0.872024 0.177861 0.332218 0.420687 1.079779
"data/dog.jpg" dog 0.771966 0.177861 0.332218 0.420687 1.079779
"data/eagle.jpg" person 0.950186 0.167078 0.000000 0.831927 1.127000
"data/eagle.jpg" bird 0.949966 0.167078 0.000000 0.831927 1.127000
"data/giraffe.jpg" person 0.901921 0.331817 0.000000 0.875472 0.897645
"data/giraffe.jpg" giraffe 0.901657 0.331817 0.000000 0.875472 0.897645
"data/giraffe.jpg" person 0.811881 0.482892 0.415525 0.844215 0.883587
"data/giraffe.jpg" zebra 0.802511 0.482892 0.415525 0.844215 0.883587
"data/horses.jpg" person 0.611837 0.000811 0.278078 0.200283 0.746242
"data/horses.jpg" horse 0.610333 0.000811 0.278078 0.200283 0.746242
"data/horses.jpg" person 0.745395 0.327774 0.328087 0.559952 0.837692
"data/horses.jpg" horse 0.745169 0.327774 0.328087 0.559952 0.837692
"data/horses.jpg" person 0.888628 0.562675 0.368716 0.780316 0.775199
"data/horses.jpg" horse 0.887661 0.562675 0.368716 0.780316 0.775199
"data/horses.jpg" person 0.899413 0.008647 0.318431 0.394224 0.956436
"data/horses.jpg" horse 0.896858 0.008647 0.318431 0.394224 0.956436
"data/person.jpg" person 0.819839 0.296428 0.086508 0.424398 1.100808
"data/person.jpg" person 0.845019 0.108571 0.666510 0.327910 1.009040
"data/person.jpg" dog 0.793903 0.108571 0.666510 0.327910 1.009040
"data/person.jpg" person 0.894059 0.621316 0.198782 0.945509 1.000294
"data/person.jpg" horse 0.886935 0.621316 0.198782 0.945509 1.000294
"data/scream.jpg" person 0.681544 0.000000 0.016311 1.136868 0.852158
